"1"|"14"|
"2"|"84"|
"3"|"42"|
"4"|"62"|
"5"|"76"|
"6"|"17"|
"7"|"28"|
"8"|"20"|
"9"|"1"|
"10"|"50"|
"11"|"12"|
"12"|"25"|
"13"|"10"|
"14"|"7"|
"15"|"4"|
"16"|"8"|
"17"|"21"|
"18"|"24"|
"19"|"53"|
"20"|"3"|
"21"|"35"|
"22"|"13"|
"23"|"16"|
"24"|"2"|
"25"|"40"|
"26"|"45"|
"27"|"22"|
"28"|"80"|
"29"|"113"|
"30"|"85"|
"31"|"23"|
"32"|"37"|
"33"|"32"|
"34"|"9"|
"35"|"11"|
"36"|"47"|
"37"|"36"|
"38"|"79"|
"39"|"60"|
"40"|"86"|
"41"|"70"|
"42"|"67"|
"43"|"46"|
"44"|"64"|
"45"|"58"|
"46"|"19"|
"47"|"30"|
"48"|"15"|
"49"|"31"|
"50"|"27"|
"51"|"34"|
"52"|"6"|
"53"|"54"|
"54"|"39"|
"55"|"57"|
"56"|"5"|
"57"|"38"|
"58"|"44"|
"59"|"51"|
"60"|"73"|
"61"|"112"|
"62"|"69"|
"63"|"26"|
"64"|"48"|
"65"|"52"|
"66"|"59"|
"67"|"29"|
"68"|"93"|
"69"|"66"|
"70"|"72"|
"71"|"92"|
"72"|"97"|
"73"|"82"|
"74"|"49"|
"75"|"111"|
"76"|"75"|
"77"|"74"|
"78"|"18"|
"79"|"43"|
"80"|"55"|
"81"|"41"|
"82"|"65"|
"83"|"95"|
"84"|"94"|
"85"|"110"|
"86"|"68"|
"87"|"101"|
"88"|"104"|
"89"|"56"|
"90"|"33"|
"91"|"83"|
"92"|"89"|
"93"|"61"|
"94"|"100"|
"95"|"98"|
"96"|"105"|
"97"|"77"|
"98"|"102"|
"99"|"63"|
"100"|"87"|
"101"|"71"|
"102"|"78"|
"103"|"91"|
"104"|"88"|
"105"|"108"|
"106"|"109"|
"107"|"106"|
"108"|"99"|
"109"|"103"|
"110"|"96"|
"111"|"107"|
"112"|"90"|
"113"|"81"|
