"1"|"Christiansen, Johan-Sebastian"|"2578"|"1512668"||"Si"
"2"|"Fernandez Guillen, Ernesto J."|"2462"|"3512428"||"Si"
"3"|"Docx, Stefan"|"2448"|"200778"||"Si"
"4"|"Ajay Karthikeyan"|"2430"|"35011685"||"Si"
"5"|"Saydaliev, Saidakbar"|"2419"|"14203693"||"Si"
"6"|"Cruz Lledo, Pablo"|"2404"|"2297361"|"Comunidad Valenciana"|"No"
"7"|"Sattarov, Bobir"|"2389"|"14203081"||"Si"
"8"|"Plaskett, H James"|"2365"|"400238"|"Comunidad Valenciana"|"Si"
"9"|"Van Delft, Merijn"|"2363"|"1004670"||"Si"
"10"|"Nandhidhaa, P V"|"2358"|"5050847"||"Si"
"11"|"Nawin J J"|"2351"|"45031231"||"Si"
"12"|"Sarkar, Justin"|"2343"|"2010011"||"Si"
"13"|"Ilamparthi A R"|"2336"|"45015775"||"Si"
"14"|"Gavarrete, Nahun"|"2325"|"8400709"|"Comunidad Valenciana"|"No"
"15"|"Kuipers, Eelco"|"2317"|"1002937"||"Si"
"16"|"Van Foreest, Machteld"|"2309"|"1051563"||"Si"
"17"|"Escartin Lacasa, Jose"|"2284"|"32080042"|"Aragón"|"Si"
"18"|"Ram Aravind L N"|"2272"|"25033760"||"Si"
"19"|"Ibanez Aullana, Ramon"|"2270"|"2207532"|"Comunidad Valenciana"|"No"
"20"|"Cabezas Ayala, Ivan"|"2259"|"2207710"|"Extremadura"|"Si"
"21"|"Rakshitta Ravi"|"2242"|"25073230"||"Si"
"22"|"Arjun C Krishnamachari"|"2241"|"46653252"||"Si"
"23"|"Rajarishi Karthi"|"2239"|"5092523"||"Si"
"24"|"Ilinca Ilinca, Felix Antonio"|"2233"|"54764998"|"Comunidad Valenciana"|"No"
"25"|"Mannion, Stephen R"|"2229"|"2400111"||"Si"
"26"|"Grabuzova, Tatiana"|"2228"|"4108752"|"Comunidad Valenciana"|"No"
"27"|"Chernikov, Vladimir"|"2211"|"14112914"|"Comunidad Valenciana"|"No"
"28"|"Goossens, Hanne"|"2204"|"200468"||"Si"
"29"|"Harshad S"|"2202"|"46616551"||"Si"
"30"|"Ojas Kulkarni"|"2196"|"25040073"||"Si"
"31"|"Nurmanova, Alua"|"2191"|"13729390"||"Si"
"32"|"Cherniack, Alex"|"2188"|"2007606"||"Si"
"33"|"Levi, Netanel"|"2179"|"2815400"||"Si"
"34"|"Slagboom, Leandro"|"2177"|"1065882"||"Si"
"35"|"Hushpit, Yaroslav"|"2176"|"14105462"||"Si"
"36"|"Fernandez Garcia, Gumersindo"|"2172"|"24516740"|"Castilla y León"|"Si"
"37"|"Nurgaliyev, Sauat"|"2150"|"13726285"||"Si"
"38"|"Rodriguez Melendez, Juan Humbert"|"2149"|"3812448"|"Madrid"|"Si"
"39"|"Priyanka, K"|"2146"|"5082986"||"Si"
"40"|"Roe, Simon J"|"2146"|"401471"||"Si"
"41"|"Garcia Callejo, Jesus"|"2138"|"2200724"|"Madrid"|"Si"
"42"|"Rodriguez Garcia, Manuel Francis"|"2135"|"2218178"|"Extremadura"|"Si"
"43"|"Gugan G"|"2126"|"45092931"||"Si"
"44"|"Sanroman Costas, Mauro"|"2123"|"24595349"|"Galicia"|"Si"
"45"|"Kocak, Ediz"|"2115"|"16219481"||"Si"
"46"|"Minana Menor, Antonio"|"2102"|"2218640"|"Comunidad Valenciana"|"Si"
"47"|"Panjer, Sidney"|"2100"|"16207041"||"Si"
"48"|"Lohia, Sohum"|"2096"|"5819369"||"Si"
"49"|"Sanchez Manzanares, Jorge Luis"|"2095"|"6600280"||"Si"
"50"|"Horcajada Reales, Guillermo"|"2084"|"2221470"|"Madrid"|"Si"
"51"|"Achuthan, Dylan"|"2081"|"1057847"||"Si"
"52"|"Minnican, Alan"|"2049"|"2400987"||"Si"
"53"|"Assylov, Miras"|"2044"|"13728873"||"Si"
"54"|"Gil Lopez, Alejandro"|"2041"|"32065795"|"Comunidad Valenciana"|"Si"
"55"|"Sarveshwaran V"|"2040"|"25699016"||"Si"
"56"|"Palomo Teruel, Xavier"|"2038"|"2202999"|"Cataluña"|"Si"
"57"|"Vignesh B"|"2032"|"35051555"||"Si"
"58"|"Troffiguer, Olivier"|"2016"|"607835"||"Si"
"59"|"Perez Candelario, Matias"|"2009"|"2260034"|"Extremadura"|"Si"
"60"|"Draghici Flutur, Gavril"|"2004"|"1206508"|"FEDC - Cataluña"|"Si"
"61"|"Parramon Ros, Francesc"|"2003"|"2252643"|"Cataluña"|"Si"
"62"|"Unciti Juan, Javier"|"1999"|"2216027"|"Madrid"|"Si"
"63"|"Perez Ruiz, Santiago"|"1966"|"22228225"|"Castilla y León"|"Si"
"64"|"Hiren K G"|"1965"|"35053400"||"Si"
"65"|"Clemente Llamero, Roberto"|"1953"|"2257696"|"FEDC - Castilla L"|"Si"
"66"|"O`Neill Y Daneiko, Jose Antonio"|"1952"|"2237733"|"Comunidad Valenciana"|"No"
